genre_grouped,total_songs,top_songs,perc_top
country,428,105,24.53271028037383
Latin,58,11,18.96551724137931
Folk,583,106,18.181818181818183
Pop,1364,217,15.909090909090908
Hip hop,1210,160,13.223140495867769
Rock,11365,1458,12.828860536735592
Classical,234,24,10.256410256410255
Jazz & Soul,833,83,9.963985594237695
Electronic,4400,359,8.159090909090908
Reggae,677,39,5.760709010339734
other,1749,99,5.660377358490567
World,114,5,4.385964912280701
Metal,5830,222,3.807890222984563
